BTC/USDT >> BTC/USDP >>  USDP/USDT
BTC/USDT >> GALA/BTC >>  GALA/USDT
BTC/USDT >> ILV/BTC >>  ILV/USDT
BTC/USDT >> YGG/BTC >>  YGG/USDT
BTC/USDT >> SYS/BTC >>  SYS/USDT
BTC/USDT >> FIDA/BTC >>  FIDA/USDT
BTC/USDT >> FRONT/BTC >>  FRONT/USDT
BTC/USDT >> AGLD/BTC >>  AGLD/USDT
BTC/USDT >> RAD/BTC >>  RAD/USDT
BTC/USDT >> BETA/BTC >>  BETA/USDT
BTC/USDT >> RARE/BTC >>  RARE/USDT
BTC/USDT >> LAZIO/BTC >>  LAZIO/USDT
BTC/USDT >> CHESS/BTC >>  CHESS/USDT
BTC/USDT >> ADX/BTC >>  ADX/USDT
BTC/USDT >> AUCTION/BTC >>  AUCTION/USDT
BTC/USDT >> DAR/BTC >>  DAR/USDT
BTC/USDT >> BNX/BTC >>  BNX/USDT
BTC/USDT >> RGT/BTC >>  RGT/USDT
BTC/USDT >> MOVR/BTC >>  MOVR/USDT
BTC/USDT >> CITY/BTC >>  CITY/USDT
BTC/USDT >> ENS/BTC >>  ENS/USDT
BTC/USDT >> QI/BTC >>  QI/USDT
BTC/USDT >> PORTO/BTC >>  PORTO/USDT
BTC/USDT >> POWR/BTC >>  POWR/USDT
BTC/USDT >> VGX/BTC >>  VGX/USDT
BTC/USDT >> JASMY/BTC >>  JASMY/USDT
BTC/USDT >> AMP/BTC >>  AMP/USDT
BTC/USDT >> PLA/BTC >>  PLA/USDT
BTC/USDT >> PYR/BTC >>  PYR/USDT
BTC/USDT >> RNDR/BTC >>  RNDR/USDT
BTC/USDT >> ALCX/BTC >>  ALCX/USDT
BTC/USDT >> SANTOS/BTC >>  SANTOS/USDT
BTC/USDT >> MC/BTC >>  MC/USDT
BTC/USDT >> ANY/BTC >>  ANY/USDT
BTC/USDT >> BICO/BTC >>  BICO/USDT
BTC/USDT >> FLUX/BTC >>  FLUX/USDT
BTC/USDT >> FXS/BTC >>  FXS/USDT
BTC/USDT >> VOXEL/BTC >>  VOXEL/USDT
BTC/USDT >> HIGH/BTC >>  HIGH/USDT
BTC/USDT >> CVX/BTC >>  CVX/USDT
BTC/USDT >> PEOPLE/BTC >>  PEOPLE/USDT
BTC/USDT >> SPELL/BTC >>  SPELL/USDT
BTC/USDT >> BTC/UST >>  UST/USDT
BTC/USDT >> JOE/BTC >>  JOE/USDT
BTC/USDT >> ACH/BTC >>  ACH/USDT
BTC/USDT >> IMX/BTC >>  IMX/USDT
BTC/USDT >> GLMR/BTC >>  GLMR/USDT
BTC/USDT >> LOKA/BTC >>  LOKA/USDT
BTC/USDT >> SCRT/BTC >>  SCRT/USDT
BTC/USDT >> API3/BTC >>  API3/USDT
BTC/USDT >> ACA/BTC >>  ACA/USDT
BTC/USDT >> ANC/BTC >>  ANC/USDT
BTC/USDT >> XNO/BTC >>  XNO/USDT
BTC/USDT >> WOO/BTC >>  WOO/USDT
BTC/USDT >> ALPINE/BTC >>  ALPINE/USDT
BTC/USDT >> ASTR/BTC >>  ASTR/USDT
BTC/USDT >> GMT/BTC >>  GMT/USDT
BTC/USDT >> KDA/BTC >>  KDA/USDT
BTC/USDT >> APE/BTC >>  APE/USDT
BTC/USDT >> MULTI/BTC >>  MULTI/USDT
BTC/USDT >> STEEM/BTC >>  STEEM/USDT
BTC/USDT >> MOB/BTC >>  MOB/USDT
BTC/USDT >> NEXO/BTC >>  NEXO/USDT
BTC/USDT >> GAL/BTC >>  GAL/USDT
BTC/USDT >> LDO/BTC >>  LDO/USDT
BTC/USDT >> OP/BTC >>  OP/USDT
BTC/USDT >> STG/BTC >>  STG/USDT
BTC/USDT >> GMX/BTC >>  GMX/USDT
